Crash ID,Location ID
20241115,1585
20231122,1585
20221121,1585
20211101,1585
20211135,1585
20211074,1585
20211186,1585
20211176,1585
20191242,1585
20241125,1776
20191276,1776
20191040,1776
20151222,1776
20151009,1776
20246013,855
20241002,1206
20243185,1970
20243130,1970
20233132,1970
20233023,1970
20223241,1970
20213155,1970
20203021,1970
20244016,192
20244066,192
20234095,192
20164011,192
20144093,192
20243168,497
20243038,497
20233233,497
20213216,497
20203028,497
20193011,497
20173051,497
20246003,616
20246001,866
20246029,866
20216031,866
20216005,866
20186005,866
20166017,866
20146023,866
20244081,1689
20234061,1689
20241087,1903
20241042,1903
20221158,1903
20211013,1903
20201067,1903
20201234,1903
20191115,1903
20161052,1903
20241054,348
20231021,348
20231130,348
20211078,348
20211207,348
20211061,348
20191138,348
20171061,348
20244042,1726
20244002,1726
20184023,1726
20154071,1726
20144040,1726
20243246,285
20243176,285
20243256,285
20233099,285
20223239,285
20223268,285
20193048,285
20183114,285
20183176,285
20173175,285
20241101,762
20241261,762
20241204,762
20241132,762
20241223,762
20241176,762
20241073,762
20231004,762
20221080,762
20211163,762
20201244,762
20201054,762
20191178,762
20191192,762
20181167,762
20181061,762
20171330,762
20161056,762
20241216,1912
20241153,1912
20241271,1912
20211118,1912
20201003,1912
20201184,1912
20171188,1912
20171029,1912
20161116,1912
20151115,1912
20241300,743
20241025,743
20231043,743
20211155,743
20181105,743
20181254,743
20171146,743
20171209,743
20171118,743
20171240,743
20161004,743
20243007,2276
20223186,2276
20213210,2276
20203170,2276
20183222,2276
20183038,2276
20241278,444
20221094,444
20211127,444
20201090,444
20191004,444
20191212,444
20191184,444
20181171,444
20181142,444
20161162,444
20161239,444
20161157,444
20241149,1835
20241296,1835
20231005,1835
20231159,1835
20231147,1835
20231124,1835
20221157,1835
20191254,1835
20191118,1835
20181148,1835
20181158,1835
20181133,1835
20181039,1835
20151155,1835
20151325,1835
20151132,1835
20241068,1185
20241120,1185
20191309,1185
20171109,1185
20161281,1185
20243273,501
20213194,501
20203035,501
20193067,501
