Vehicle_ID,RoadUser_ID
V1,1
V2,2
V3,3
V4,4
V5,5
V6,6
V7,7
V8,8
V9,9
V10,10
V11,11
V12,12
V13,13
V14,14
V15,15
V16,16
V17,17
V18,18
V19,19
V20,20
V21,21
V22,22
V23,23
V24,24
,25
V25,26
V26,27
,28
V27,29
V28,30
V29,31
V30,32
V31,33
,34
V32,35
V33,36
V34,37
V35,38
V36,39
V37,40
V38,41
V39,42
V40,43
V41,44
V42,45
,46
V43,47
V44,48
V45,49
V46,50
V47,51
,52
V48,53
,54
V49,55
V50,56
V51,57
V52,58
V53,59
V54,60
V55,61
V56,62
V57,63
V58,64
V59,65
V60,66
V61,67
V62,68
V63,69
V64,70
V65,71
V66,72
V67,73
V68,74
V69,75
V70,76
V71,77
V72,78
V73,79
V74,80
V75,81
V76,82
V77,83
V78,84
V79,85
V80,86
V81,87
,88
V82,89
V83,90
V84,91
V85,92
V86,93
V87,94
V88,95
V89,96
V90,97
V91,98
V92,99
V93,100
V94,101
V95,102
V96,103
V97,104
V98,105
,106
V99,107
,108
V100,109
V101,110
V102,111
V103,112
V104,113
V105,114
V106,115
V107,116
V108,117
V109,118
V110,119
,120
V111,121
V112,122
V113,123
V114,124
V115,125
V116,126
V117,127
V118,128
V119,129
V120,130
V121,131
V122,132
,133
V123,134
V124,135
V125,136
V126,137
V127,138
V128,139
V129,140
V130,141
V131,142
V132,143
V133,144
V134,145
V135,146
V136,147
,148
V137,149
V138,150
V139,151
V140,152
V141,153
V142,154
V143,155
V144,156
V145,157
V146,158
V147,159
V148,160
V149,161
,162
V150,163
V151,164
V152,165
V153,166
V154,167
,168
V155,169
V156,170
V157,171
V158,172
V159,173
V160,174
V161,175
V162,176
V163,177
V164,178
V165,179
V166,180
,181
V167,182
V168,183
V169,184
V170,185
V171,186
V172,187
V173,188
V174,189
V175,190
V176,191
V177,192
V178,193
V179,194
V180,195
V181,196
V182,197
V183,198
V184,199
V185,200
V186,201
V187,202
V188,203
V189,204
V190,205
V191,206
V192,207
V193,208
V194,209
V195,210
V196,211
,212
V197,213
,214
V198,215
V199,216
V200,217
V201,218
V202,219
V203,220
V204,221
V205,222
V206,223
V207,224
V208,225
,226
V209,227
V210,228
V211,229
V212,230
V213,231
V214,232
V215,233
V216,234
V217,235
V218,236
V219,237
V220,238
V221,239
V222,240
V223,241
V224,242
V225,243
V226,244
V227,245
V228,246
V229,247
V230,248
V231,249
V232,250
V233,251
V234,252
V235,253
V236,254
V237,255
V238,256
V239,257
V240,258
V241,259
V242,260
V243,261
V244,262
V245,263
V246,264
,265
,266
,267
V247,268
V248,269
V249,270
V250,271
V251,272
V252,273
V253,274
V254,275
V255,276
,277
V256,278
V257,279
V258,280
V259,281
V260,282
V261,283
V262,284
V263,285
V264,286
V265,287
V266,288
V267,289
,290
V268,291
V269,292
V270,293
V271,294
V272,295
V273,296
V274,297
V275,298
V276,299
V277,300
V278,301
V279,302
V280,303
V281,304
V282,305
V283,306
V284,307
V285,308
V286,309
V287,310
V288,311
V289,312
V290,313
V291,314
V292,315
V293,316
V294,317
V295,318
V296,319
V297,320
V298,321
V299,322
,323
V300,324
V301,325
V302,326
V303,327
V304,328
V305,329
V306,330
,331
V307,332
V308,333
V309,334
V310,335
V311,336
V312,337
V313,338
V314,339
V315,340
V316,341
V317,342
V318,343
V319,344
V320,345
V321,346
V322,347
V323,348
V324,349
V325,350
V326,351
V327,352
V328,353
V329,354
,355
V330,356
V331,357
V332,358
V333,359
V334,360
V335,361
,362
V336,363
V337,364
V338,365
V339,366
V340,367
V341,368
V342,369
V343,370
V344,371
V345,372
V346,373
,374
,375
V347,376
V348,377
V349,378
V350,379
V351,380
V352,381
V353,382
V354,383
V355,384
V356,385
V357,386
V358,387
V359,388
V360,389
V361,390
V362,391
V363,392
V364,393
V365,394
V366,395
V367,396
V368,397
V369,398
V370,399
V371,400
V372,401
V373,402
,403
V374,404
,405
V375,406
V376,407
V377,408
V378,409
V379,410
V380,411
V381,412
V382,413
V383,414
V384,415
V385,416
V386,417
V387,418
V388,419
V389,420
,421
V390,422
,423
V391,424
V392,425
V393,426
V394,427
,428
V395,429
V396,430
V397,431
,432
V398,433
V399,434
V400,435
V401,436
V402,437
V403,438
V404,439
V405,440
V406,441
V407,442
V408,443
,444
,445
V409,446
V410,447
,448
V411,449
V412,450
V413,451
V414,452
V415,453
V416,454
V417,455
V418,456
V419,457
V420,458
,459
V421,460
V422,461
V423,462
V424,463
V425,464
V426,465
V427,466
V428,467
V429,468
V430,469
V431,470
V432,471
V433,472
V434,473
V435,474
V436,475
V437,476
V438,477
V439,478
V440,479
V441,480
,481
V442,482
V443,483
V444,484
V445,485
V446,486
V447,487
V448,488
V449,489
V450,490
,491
V451,492
V452,493
V453,494
V454,495
V455,496
V456,497
,498
V457,499
V458,500
V459,501
V460,502
V461,503
V462,504
V463,505
V464,506
V465,507
V466,508
V467,509
V468,510
V469,511
V470,512
,513
,514
V471,515
V472,516
V473,517
V474,518
V475,519
V476,520
V477,521
V478,522
V479,523
V480,524
V481,525
V482,526
V483,527
V484,528
V485,529
V486,530
V487,531
V488,532
V489,533
,534
,535
V490,536
V491,537
V492,538
V493,539
V494,540
V495,541
V496,542
V497,543
V498,544
V499,545
V500,546
V501,547
V502,548
V503,549
V504,550
V505,551
V506,552
V507,553
,554
V508,555
V509,556
V510,557
V511,558
V512,559
V513,560
V514,561
V515,562
V516,563
V517,564
V518,565
V519,566
V520,567
V521,568
V522,569
V523,570
V524,571
V525,572
V526,573
V527,574
V528,575
,576
V529,577
V530,578
V531,579
V532,580
V533,581
V534,582
V535,583
V536,584
V537,585
V538,586
V539,587
V540,588
V541,589
V542,590
V543,591
V544,592
V545,593
V546,594
V547,595
V548,596
,597
V549,598
,599
V550,600
V551,601
,602
,603
V552,604
V553,605
V554,606
V555,607
V556,608
V557,609
V558,610
V559,611
V560,612
V561,613
,614
V562,615
V563,616
V564,617
V565,618
V566,619
V567,620
V568,621
V569,622
V570,623
,624
V571,625
V572,626
V573,627
,628
V574,629
V575,630
V576,631
V577,632
V578,633
V579,634
,635
V580,636
V581,637
V582,638
V583,639
V584,640
V585,641
V586,642
V587,643
V588,644
V589,645
V590,646
V591,647
V592,648
V593,649
V594,650
V595,651
V596,652
V597,653
V598,654
V599,655
,656
,657
V600,658
,659
V601,660
V602,661
V603,662
V604,663
V605,664
V606,665
V607,666
V608,667
V609,668
,669
V610,670
V611,671
V612,672
V613,673
V614,674
V615,675
V616,676
V617,677
V618,678
V619,679
V620,680
V621,681
,682
V622,683
V623,684
V624,685
V625,686
V626,687
V627,688
V628,689
V629,690
V630,691
V631,692
V632,693
V633,694
V634,695
V635,696
V636,697
V637,698
V638,699
V639,700
V640,701
,702
V641,703
,704
,705
V642,706
V643,707
V644,708
V645,709
V646,710
,711
V647,712
V648,713
V649,714
V650,715
V651,716
V652,717
V653,718
V654,719
V655,720
V656,721
V657,722
V658,723
V659,724
V660,725
V661,726
V662,727
V663,728
,729
V664,730
V665,731
V666,732
V667,733
V668,734
V669,735
V670,736
V671,737
V672,738
V673,739
V674,740
V675,741
V676,742
V677,743
V678,744
V679,745
V680,746
V681,747
V682,748
V683,749
V684,750
V685,751
V686,752
V687,753
V688,754
V689,755
,756
,757
V690,758
V691,759
V692,760
V693,761
V694,762
V695,763
V696,764
V697,765
V698,766
V699,767
V700,768
V701,769
V702,770
V703,771
V704,772
V705,773
V706,774
V707,775
V708,776
V709,777
V710,778
V711,779
V712,780
V713,781
V714,782
V715,783
,784
V716,785
V717,786
V718,787
V719,788
V720,789
V721,790
V722,791
V723,792
V724,793
V725,794
V726,795
V727,796
V728,797
V729,798
V730,799
V731,800
V732,801
V733,802
V734,803
V735,804
,805
V736,806
V737,807
V738,808
V739,809
V740,810
V741,811
V742,812
V743,813
V744,814
V745,815
V746,816
V747,817
V748,818
V749,819
V750,820
V751,821
V752,822
V753,823
,824
V754,825
V755,826
V756,827
V757,828
V758,829
V759,830
V760,831
V761,832
V762,833
V763,834
V764,835
V765,836
V766,837
V767,838
V768,839
V769,840
V770,841
V771,842
V772,843
V773,844
V774,845
V775,846
V776,847
V777,848
V778,849
,850
V779,851
V780,852
,853
,854
,855
V781,856
V782,857
V783,858
V784,859
V785,860
V786,861
V787,862
V788,863
V789,864
V790,865
,866
,867
V791,868
V792,869
V793,870
V794,871
V795,872
V796,873
V797,874
V798,875
V799,876
V800,877
V801,878
V802,879
V803,880
V804,881
V805,882
V806,883
V807,884
V808,885
V809,886
V810,887
V811,888
V812,889
V813,890
V814,891
V815,892
V816,893
V817,894
V818,895
V819,896
V820,897
V821,898
V822,899
V823,900
V824,901
V825,902
V826,903
V827,904
V828,905
V829,906
V830,907
V831,908
V832,909
V833,910
V834,911
V835,912
V836,913
V837,914
V838,915
V839,916
V840,917
V841,918
V842,919
V843,920
V844,921
V845,922
V846,923
V847,924
,925
V848,926
V849,927
,928
V850,929
V851,930
V852,931
V853,932
V854,933
V855,934
V856,935
V857,936
V858,937
V859,938
V860,939
,940
V861,941
V862,942
V863,943
V864,944
V865,945
V866,946
V867,947
V868,948
V869,949
V870,950
V871,951
V872,952
,953
V873,954
V874,955
V875,956
V876,957
V877,958
V878,959
,960
V879,961
V880,962
V881,963
V882,964
V883,965
V884,966
V885,967
V886,968
V887,969
V888,970
V889,971
V890,972
V891,973
V892,974
V893,975
V894,976
V895,977
V896,978
V897,979
V898,980
V899,981
V900,982
V901,983
V902,984
V903,985
V904,986
V905,987
V906,988
V907,989
,990
,991
V908,992
V909,993
V910,994
V911,995
V912,996
,997
V913,998
V914,999
V915,1000
V916,1001
V917,1002
V918,1003
V919,1004
V920,1005
V921,1006
V922,1007
V923,1008
V924,1009
V925,1010
V926,1011
V927,1012
V928,1013
V929,1014
,1015
V930,1016
V931,1017
V932,1018
V933,1019
V934,1020
,1021
V935,1022
V936,1023
V937,1024
V938,1025
V939,1026
V940,1027
V941,1028
,1029
V942,1030
V943,1031
V944,1032
V945,1033
V946,1034
V947,1035
,1036
V948,1037
V949,1038
V950,1039
