Crash ID,SA4 Name 2021,National LGA Name 2024,National Remoteness Areas,National Road Type
20222220,Bendigo,Mount Alexander,Inner Regional Australia,Arterial Road
20221031,Sydney - North Sydney and Hornsby,North Sydney,Major Cities of Australia,Local Road
20222015,Melbourne - West,Wyndham,Major Cities of Australia,Arterial Road
20223028,Gold Coast,Gold Coast,Major Cities of Australia,Sub-arterial Road
20222196,Hume,Mitchell,Inner Regional Australia,National or State Highway
20221081,Sydney - Blacktown,Blacktown,Major Cities of Australia,Collector Road
20221188,Coffs Harbour - Grafton,Coffs Harbour,Inner Regional Australia,Sub-arterial Road
20221173,Sydney - Inner South West,Georges River,Major Cities of Australia,Arterial Road
20221131,New England and North West,Tamworth,Outer Regional Australia,National or State Highway
20222159,North West,Gannawarra,Outer Regional Australia,National or State Highway
20223052,Wide Bay,Fraser Coast,Inner Regional Australia,Sub-arterial Road
20223138,Sunshine Coast,Sunshine Coast,Major Cities of Australia,Sub-arterial Road
20222031,Melbourne - South East,Casey,Major Cities of Australia,Sub-arterial Road
20223064,Central Queensland,Banana,Outer Regional Australia,Local Road
20222121,Melbourne - Outer East,Yarra Ranges,Major Cities of Australia,Arterial Road
20227002,Northern Territory - Outback,Roper Gulf,Very Remote Australia,Sub-arterial Road
20223198,Brisbane - East,Brisbane,Major Cities of Australia,Local Road
20223101,Darling Downs - Maranoa,Western Downs,Inner Regional Australia,National or State Highway
20221110,Richmond - Tweed,Tweed,Major Cities of Australia,Local Road
20222177,Melbourne - Inner,Yarra,Major Cities of Australia,Arterial Road
20221116,Capital Region,Yass Valley,Inner Regional Australia,National or State Highway
20226041,Launceston and North East,Break O'Day,Outer Regional Australia,Collector Road
20221161,Sydney - Eastern Suburbs,Woollahra,Major Cities of Australia,Local Road
20224037,Adelaide - Central and Hills,Prospect,Major Cities of Australia,Arterial Road
20222036,North West,Horsham,Outer Regional Australia,National or State Highway
20221011,Riverina,Carrathool,Outer Regional Australia,Sub-arterial Road
20223065,Darling Downs - Maranoa,Toowoomba,Inner Regional Australia,National or State Highway
20221205,Hunter Valley exc Newcastle,Singleton,Inner Regional Australia,National or State Highway
20224025,Adelaide - West,Port Adelaide Enfield,Major Cities of Australia,National or State Highway
20223029,Sunshine Coast,Sunshine Coast,Major Cities of Australia,Sub-arterial Road
20223220,Mackay - Isaac - Whitsunday,Isaac,Outer Regional Australia,National or State Highway
20222051,Melbourne - Outer East,Yarra Ranges,Major Cities of Australia,Arterial Road
20221074,Central West,Bland,Outer Regional Australia,Sub-arterial Road
20223131,Logan - Beaudesert,Logan,Major Cities of Australia,Local Road
20222157,Latrobe - Gippsland,Latrobe (Vic.),Inner Regional Australia,Local Road
20226044,South East,Southern Midlands,Outer Regional Australia,National or State Highway
20227017,Northern Territory - Outback,MacDonnell,Very Remote Australia,Arterial Road
20223248,Cairns,Tablelands,Outer Regional Australia,Local Road
20223044,Gold Coast,Gold Coast,Major Cities of Australia,Sub-arterial Road
20227040,Darwin,Litchfield,Outer Regional Australia,Sub-arterial Road
20222163,North West,Gannawarra,Outer Regional Australia,Sub-arterial Road
20222217,Melbourne - West,Melton,Major Cities of Australia,National or State Highway
20223024,Moreton Bay - North,Moreton Bay,Major Cities of Australia,National or State Highway
20221175,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Inner Regional Australia,Sub-arterial Road
20222207,Melbourne - West,Brimbank,Major Cities of Australia,Collector Road
20224012,Adelaide - North,Salisbury,Major Cities of Australia,Collector Road
20221052,Sydney - Ryde,Parramatta,Major Cities of Australia,Pedestrian Thoroughfare
20222178,Melbourne - North East,Whittlesea,Major Cities of Australia,Arterial Road
20221191,Central Coast,Central Coast (NSW),Major Cities of Australia,National or State Highway
20221051,Capital Region,Upper Lachlan,Inner Regional Australia,Arterial Road
20223050,Brisbane - North,Brisbane,Major Cities of Australia,Sub-arterial Road
20221234,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,Local Road
20222068,Bendigo,Macedon Ranges,Inner Regional Australia,Sub-arterial Road
20226023,West and North West,Latrobe (Tas.),Outer Regional Australia,National or State Highway
20221002,Hunter Valley exc Newcastle,Upper Hunter,Outer Regional Australia,Sub-arterial Road
20222126,Hume,Mitchell,Inner Regional Australia,Sub-arterial Road
20222102,Hume,Wodonga,Inner Regional Australia,Sub-arterial Road
20221176,Newcastle and Lake Macquarie,Lake Macquarie,Major Cities of Australia,Arterial Road
20226011,South East,Southern Midlands,Outer Regional Australia,Local Road
20221037,Coffs Harbour - Grafton,Clarence Valley,Inner Regional Australia,Local Road
20222139,Melbourne - West,Brimbank,Major Cities of Australia,National or State Highway
20228002,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Collector Road
20222211,North West,Mildura,Outer Regional Australia,National or State Highway
20221077,Murray,Greater Hume,Inner Regional Australia,Sub-arterial Road
20223059,Cairns,Douglas,Outer Regional Australia,Local Road
20223129,Townsville,Townsville,Outer Regional Australia,Local Road
20228009,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,National or State Highway
20223252,Ipswich,Lockyer Valley,Inner Regional Australia,Sub-arterial Road
20224044,Barossa - Yorke - Mid North,Mount Remarkable,Outer Regional Australia,Local Road
20222032,Bendigo,Macedon Ranges,Inner Regional Australia,Sub-arterial Road
20223146,Brisbane - North,Brisbane,Major Cities of Australia,Sub-arterial Road
20221102,Murray,Balranald,Remote Australia,Local Road
20228007,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Collector Road
20221245,Capital Region,Queanbeyan-Palerang,Inner Regional Australia,Arterial Road
20221240,Far West and Orana,Dubbo,Outer Regional Australia,National or State Highway
20223055,Logan - Beaudesert,Logan,Major Cities of Australia,Local Road
20223258,Cairns,Douglas,Outer Regional Australia,Sub-arterial Road
20223164,Brisbane Inner City,Brisbane,Major Cities of Australia,Collector Road
20221199,Capital Region,Yass Valley,Inner Regional Australia,National or State Highway
20221016,Sydney - City and Inner South,Sydney,Major Cities of Australia,Arterial Road
20222205,Latrobe - Gippsland,Wellington,Inner Regional Australia,National or State Highway
20222103,Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,Local Road
20223152,Mackay - Isaac - Whitsunday,Mackay,Inner Regional Australia,Access road
20224065,South Australia - South East,Murray Bridge,Inner Regional Australia,Arterial Road
20221080,Illawarra,Wollongong,Major Cities of Australia,National or State Highway
20221008,Hunter Valley exc Newcastle,Maitland,Major Cities of Australia,Sub-arterial Road
20222142,Latrobe - Gippsland,Latrobe (Vic.),Inner Regional Australia,Access road
20222019,Melbourne - South East,Monash,Major Cities of Australia,Local Road
20223246,Queensland - Outback,Mareeba,Remote Australia,Collector Road
20223135,Central Queensland,Central Highlands (Qld),Outer Regional Australia,National or State Highway
20222180,Melbourne - West,Maribyrnong,Major Cities of Australia,Local Road
20221017,Riverina,Griffith,Outer Regional Australia,Arterial Road
20223166,Cairns,Mareeba,Outer Regional Australia,National or State Highway
20222111,Latrobe - Gippsland,South Gippsland,Inner Regional Australia,National or State Highway
20222135,Melbourne - Outer East,Manningham,Major Cities of Australia,Collector Road
20221152,Newcastle and Lake Macquarie,Lake Macquarie,Major Cities of Australia,Arterial Road
20223162,Gold Coast,Gold Coast,Major Cities of Australia,Sub-arterial Road
20221225,Illawarra,Shellharbour,Major Cities of Australia,National or State Highway
20226005,Hobart,Brighton,Inner Regional Australia,National or State Highway
20223208,Brisbane - South,Brisbane,Major Cities of Australia,Sub-arterial Road
20221230,Capital Region,Yass Valley,Inner Regional Australia,Sub-arterial Road
20226007,Launceston and North East,Northern Midlands,Inner Regional Australia,Sub-arterial Road
20223005,Wide Bay,Fraser Coast,Inner Regional Australia,Sub-arterial Road
20223003,Central Queensland,Livingstone,Inner Regional Australia,Sub-arterial Road
20221132,Mid North Coast,Mid-Coast,Inner Regional Australia,National or State Highway
20221094,Central West,Mid-Western,Outer Regional Australia,Arterial Road
20222021,North West,Mildura,Remote Australia,Local Road
20223209,Queensland - Outback,Cook,Remote Australia,Local Road
20221195,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,Local Road
20221026,Capital Region,Yass Valley,Inner Regional Australia,National or State Highway
20221192,Central West,Parkes,Outer Regional Australia,National or State Highway
20222073,Melbourne - North West,Hume,Major Cities of Australia,Local Road
20221163,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,Arterial Road
20223016,Logan - Beaudesert,Logan,Major Cities of Australia,Sub-arterial Road
20222204,Melbourne - West,Wyndham,Major Cities of Australia,Local Road
20224007,South Australia - South East,Tatiara,Outer Regional Australia,Local Road
20223249,Queensland - Outback,Cook,Remote Australia,Local Road
20226006,Launceston and North East,Launceston,Outer Regional Australia,National or State Highway
20221126,Sydney - South West,Fairfield,Major Cities of Australia,Collector Road
20221107,New England and North West,Gunnedah,Outer Regional Australia,Sub-arterial Road
20223226,Brisbane - East,Brisbane,Major Cities of Australia,Collector Road
20223002,Central Queensland,Livingstone,Inner Regional Australia,Sub-arterial Road
20222191,Hume,Strathbogie,Inner Regional Australia,National or State Highway
20221097,Capital Region,Eurobodalla,Inner Regional Australia,National or State Highway
20223214,Darling Downs - Maranoa,Southern Downs,Outer Regional Australia,National or State Highway
20222040,Latrobe - Gippsland,Wellington,Outer Regional Australia,National or State Highway
20223075,Sunshine Coast,Sunshine Coast,Inner Regional Australia,Local Road
20223073,Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia,Sub-arterial Road
20221210,Central Coast,Central Coast (NSW),Inner Regional Australia,National or State Highway
20222037,Melbourne - Inner,Port Phillip,Major Cities of Australia,Local Road
20224061,South Australia - South East,Yankalilla,Inner Regional Australia,Arterial Road
20222184,Geelong,Greater Geelong,Major Cities of Australia,Local Road
20223139,Gold Coast,Gold Coast,Major Cities of Australia,Sub-arterial Road
20221180,Mid North Coast,Mid-Coast,Inner Regional Australia,Sub-arterial Road
20224041,Adelaide - South,Onkaparinga,Major Cities of Australia,Sub-arterial Road
20222190,Melbourne - Inner East,Boroondara,Major Cities of Australia,Arterial Road
20222101,Latrobe - Gippsland,Latrobe (Vic.),Inner Regional Australia,National or State Highway
20227025,Darwin,Litchfield,Outer Regional Australia,Sub-arterial Road
20221067,Sydney - South West,Liverpool,Major Cities of Australia,Arterial Road
20223034,Central Queensland,Gladstone,Inner Regional Australia,National or State Highway
20222006,Melbourne - West,Hobsons Bay,Major Cities of Australia,Arterial Road
20221190,Hunter Valley exc Newcastle,Cessnock,Inner Regional Australia,Arterial Road
20222104,Warrnambool and South West,Colac Otway,Inner Regional Australia,Access road
20221106,Capital Region,Bega Valley,Outer Regional Australia,National or State Highway
20223068,Logan - Beaudesert,Logan,Major Cities of Australia,Local Road
20221250,Central West,Weddin,Outer Regional Australia,National or State Highway
20221141,Mid North Coast,Nambucca Valley,Outer Regional Australia,Sub-arterial Road
20226026,Launceston and North East,Dorset,Outer Regional Australia,National or State Highway
20221162,Central Coast,Central Coast (NSW),Major Cities of Australia,National or State Highway
20222120,Latrobe - Gippsland,East Gippsland,Outer Regional Australia,National or State Highway
20223217,Central Queensland,Rockhampton,Inner Regional Australia,Local Road
20222014,Ballarat,Ballarat,Inner Regional Australia,National or State Highway
20222109,Geelong,Greater Geelong,Inner Regional Australia,Sub-arterial Road
20222166,Melbourne - North West,Merri-bek,Major Cities of Australia,Local Road
20222131,Melbourne - South East,Casey,Major Cities of Australia,Local Road
20223154,Brisbane - East,Brisbane,Major Cities of Australia,Sub-arterial Road
20222225,Melbourne - Outer East,Yarra Ranges,Inner Regional Australia,Local Road
20221174,Murray,Federation,Inner Regional Australia,Arterial Road
20224036,Barossa - Yorke - Mid North,Wakefield,Outer Regional Australia,National or State Highway
20223031,Queensland - Outback,Northern Peninsula Area,Very Remote Australia,Access road
20223221,Brisbane - South,Brisbane,Major Cities of Australia,Sub-arterial Road
20221140,Central West,Cowra,Inner Regional Australia,Sub-arterial Road
20222169,Melbourne - North East,Mitchell,Major Cities of Australia,Local Road
20221237,Southern Highlands and Shoalhaven,Wingecarribee,Inner Regional Australia,Sub-arterial Road
20221060,Richmond - Tweed,Tweed,Major Cities of Australia,National or State Highway
20222090,Warrnambool and South West,Corangamite,Inner Regional Australia,National or State Highway
20222176,Melbourne - South East,Casey,Major Cities of Australia,Collector Road
20222214,Melbourne - South East,Monash,Major Cities of Australia,Arterial Road
20221243,Richmond - Tweed,Tweed,Inner Regional Australia,Local Road
20222208,Shepparton,Campaspe,Inner Regional Australia,Local Road
20223118,Ipswich,Ipswich,Major Cities of Australia,Local Road
20222172,Geelong,Greater Geelong,Major Cities of Australia,Local Road
20221127,Hunter Valley exc Newcastle,Maitland,Major Cities of Australia,National or State Highway
20222183,Melbourne - Outer East,Knox,Major Cities of Australia,Arterial Road
20223153,Wide Bay,South Burnett,Inner Regional Australia,Collector Road
20221244,Sydney - Outer South West,Wingecarribee,Inner Regional Australia,Local Road
20221133,Richmond - Tweed,Kyogle,Outer Regional Australia,Arterial Road
20224026,Adelaide - North,Salisbury,Major Cities of Australia,Local Road
20222199,Melbourne - West,Brimbank,Major Cities of Australia,National or State Highway
20224038,Adelaide - North,Tea Tree Gully,Major Cities of Australia,Sub-arterial Road
20224051,Adelaide - North,Salisbury,Major Cities of Australia,National or State Highway
20223228,Queensland - Outback,Cook,Remote Australia,Local Road
20221025,Richmond - Tweed,Tweed,Inner Regional Australia,Arterial Road
20223025,Wide Bay,Gympie,Inner Regional Australia,Local Road
20223147,Ipswich,Ipswich,Major Cities of Australia,National or State Highway
20223039,Brisbane Inner City,Brisbane,Major Cities of Australia,Collector Road
20222192,Melbourne - North East,Whittlesea,Major Cities of Australia,Sub-arterial Road
20222215,Shepparton,Moira,Inner Regional Australia,Arterial Road
20223061,Central Queensland,Gladstone,Outer Regional Australia,Sub-arterial Road
20223170,Mackay - Isaac - Whitsunday,Whitsunday,Outer Regional Australia,National or State Highway
20221054,Hunter Valley exc Newcastle,Port Stephens,Major Cities of Australia,Local Road
20221096,Sydney - Parramatta,Cumberland,Major Cities of Australia,National or State Highway
20221235,Coffs Harbour - Grafton,Coffs Harbour,Inner Regional Australia,Local Road
20222047,Hume,Murrindindi,Inner Regional Australia,National or State Highway
20221010,New England and North West,Liverpool Plains,Outer Regional Australia,Arterial Road
20222195,Warrnambool and South West,Corangamite,Outer Regional Australia,National or State Highway
20223117,Moreton Bay - North,Moreton Bay,Major Cities of Australia,National or State Highway
20222233,Latrobe - Gippsland,South Gippsland,Inner Regional Australia,Sub-arterial Road
20223121,Brisbane - East,Brisbane,Major Cities of Australia,Sub-arterial Road
20222119,Melbourne - Outer East,Yarra Ranges,Major Cities of Australia,Arterial Road
20228003,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Arterial Road
20227018,Northern Territory - Outback,Roper Gulf,Very Remote Australia,National or State Highway
20221217,Sydney - Parramatta,Cumberland,Major Cities of Australia,Arterial Road
20221089,New England and North West,Tenterfield,Outer Regional Australia,Arterial Road
20226042,Launceston and North East,Launceston,Inner Regional Australia,Arterial Road
20223042,Moreton Bay - North,Moreton Bay,Inner Regional Australia,National or State Highway
20227038,Darwin,Unincorporated NT,Outer Regional Australia,Arterial Road
20223114,Wide Bay,Gympie,Inner Regional Australia,National or State Highway
20224053,Barossa - Yorke - Mid North,Copper Coast,Outer Regional Australia,Sub-arterial Road
20222231,Latrobe - Gippsland,East Gippsland,Outer Regional Australia,Sub-arterial Road
20223264,Wide Bay,Bundaberg,Inner Regional Australia,Collector Road
20226016,Hobart,Clarence,Inner Regional Australia,Sub-arterial Road
20222164,Melbourne - Outer East,Knox,Major Cities of Australia,Local Road
20221118,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Arterial Road
20223086,Ipswich,Brisbane,Major Cities of Australia,Sub-arterial Road
20224043,Barossa - Yorke - Mid North,Orroroo Carrieton,Outer Regional Australia,Arterial Road
20223265,Sunshine Coast,Noosa,Major Cities of Australia,Sub-arterial Road
20223180,Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia,National or State Highway
20221168,Capital Region,Eurobodalla,Outer Regional Australia,Local Road
20223100,Wide Bay,Gympie,Inner Regional Australia,National or State Highway
20221239,Sydney - Outer West and Blue Mountains,Blue Mountains,Inner Regional Australia,Arterial Road
20221092,New England and North West,Glen Innes Severn,Outer Regional Australia,National or State Highway
20223202,Ipswich,Ipswich,Major Cities of Australia,Sub-arterial Road
20222005,Hume,Murrindindi,Inner Regional Australia,Arterial Road
20224008,South Australia - South East,Tatiara,Outer Regional Australia,Collector Road
20223241,Toowoomba,Lockyer Valley,Inner Regional Australia,National or State Highway
20227009,Northern Territory - Outback,Barkly,Very Remote Australia,Access road
20222071,Ballarat,Central Goldfields,Inner Regional Australia,Arterial Road
20227031,Northern Territory - Outback,Roper Gulf,Very Remote Australia,Sub-arterial Road
20223097,Central Queensland,Central Highlands (Qld),Remote Australia,National or State Highway
20224056,Adelaide - North,Gawler,Major Cities of Australia,Sub-arterial Road
20221232,Murray,Federation,Outer Regional Australia,Arterial Road
20222224,Latrobe - Gippsland,South Gippsland,Inner Regional Australia,National or State Highway
20224057,Adelaide - North,Salisbury,Major Cities of Australia,Collector Road
20221256,Sydney - South West,Fairfield,Major Cities of Australia,Busway
20223238,Townsville,Townsville,Outer Regional Australia,Collector Road
20222003,Melbourne - North West,Moonee Valley,Major Cities of Australia,Sub-arterial Road
20227037,Northern Territory - Outback,Unincorporated NT,Remote Australia,Sub-arterial Road
20227012,Northern Territory - Outback,Alice Springs,Remote Australia,National or State Highway
20223256,Central Queensland,Livingstone,Inner Regional Australia,Local Road
20222140,Melbourne - Inner East,Manningham,Major Cities of Australia,Arterial Road
20221055,Far West and Orana,Central Darling,Very Remote Australia,Arterial Road
20222152,Melbourne - North West,Hume,Major Cities of Australia,Sub-arterial Road
20221098,Central West,Mid-Western,Outer Regional Australia,National or State Highway
20223076,Townsville,Townsville,Outer Regional Australia,Collector Road
20222044,Ballarat,Pyrenees,Inner Regional Australia,National or State Highway
20222216,Melbourne - North East,Whittlesea,Major Cities of Australia,Arterial Road
20223171,Sunshine Coast,Sunshine Coast,Major Cities of Australia,Collector Road
20223015,Darling Downs - Maranoa,Balonne,Remote Australia,National or State Highway
20223191,Townsville,Burdekin,Outer Regional Australia,National or State Highway
20223115,Townsville,Burdekin,Outer Regional Australia,National or State Highway
20223004,Moreton Bay - South,Moreton Bay,Major Cities of Australia,Sub-arterial Road
20222232,Shepparton,Greater Shepparton,Inner Regional Australia,National or State Highway
20223218,Cairns,Cassowary Coast,Remote Australia,National or State Highway
20222197,Geelong,Greater Geelong,Major Cities of Australia,Sub-arterial Road
20221255,Illawarra,Wollongong,Inner Regional Australia,Arterial Road
20222029,Melbourne - South East,Casey,Major Cities of Australia,Sub-arterial Road
20223125,Darling Downs - Maranoa,Toowoomba,Inner Regional Australia,National or State Highway
20223222,Wide Bay,South Burnett,Inner Regional Australia,Local Road
20223203,Ipswich,Somerset,Inner Regional Australia,National or State Highway
20223111,Toowoomba,Toowoomba,Inner Regional Australia,Sub-arterial Road
20221212,Richmond - Tweed,Richmond Valley,Inner Regional Australia,Sub-arterial Road
20224066,South Australia - South East,Grant,Outer Regional Australia,Sub-arterial Road
20222223,Shepparton,Campaspe,Inner Regional Australia,Local Road
20226015,Launceston and North East,Launceston,Inner Regional Australia,Arterial Road
20223008,Gold Coast,Scenic Rim,Inner Regional Australia,Sub-arterial Road
20222181,Melbourne - West,Moorabool,Inner Regional Australia,Sub-arterial Road
20227001,Northern Territory - Outback,Roper Gulf,Very Remote Australia,Access road
20224058,Barossa - Yorke - Mid North,Wakefield,Inner Regional Australia,Sub-arterial Road
20222028,Melbourne - Inner,Port Phillip,Major Cities of Australia,National or State Highway
20222010,Melbourne - South East,Casey,Major Cities of Australia,Arterial Road
20227023,Darwin,Darwin,Outer Regional Australia,Arterial Road
20222151,Melbourne - South East,Monash,Major Cities of Australia,Arterial Road
20221249,Sydney - Parramatta,Cumberland,Major Cities of Australia,Local Road
20224033,Adelaide - Central and Hills,Mount Barker,Inner Regional Australia,Local Road
20223098,Ipswich,Scenic Rim,Inner Regional Australia,National or State Highway
20223188,Logan - Beaudesert,Logan,Major Cities of Australia,Sub-arterial Road
20222105,Hume,Murrindindi,Inner Regional Australia,Collector Road
20221149,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Arterial Road
20222024,Warrnambool and South West,Corangamite,Inner Regional Australia,Arterial Road
20221197,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,National or State Highway
20224060,South Australia - South East,Naracoorte Lucindale,Outer Regional Australia,Collector Road
20223186,Wide Bay,South Burnett,Outer Regional Australia,National or State Highway
20222154,Melbourne - West,Brimbank,Major Cities of Australia,National or State Highway
