Crash ID,Participant ID
20241115,1503
20242093,1503
20242199,1503
20242168,1503
20241288,1503
20233259,1503
20234041,1503
20227018,1503
20221219,1503
20222009,1503
20221207,1503
20201028,1503
20194052,1503
20194107,1503
20182120,1503
20181084,1503
20185042,1503
20182039,1503
20181016,1503
20173018,1503
20152087,1503
20155067,1503
20154045,1503
20241125,75
20243191,75
20244032,75
20243166,75
20233050,75
20233019,75
20234044,75
20237004,75
20221010,75
20222223,75
20228008,75
20221130,75
20211094,75
20213029,75
20211115,75
20203092,75
20181166,75
20184030,75
20185001,75
20181142,75
20181186,75
20181108,75
20172198,75
20171085,75
20172127,75
20171058,75
20161298,75
20152152,75
20152048,75
20152016,75
20155017,75
20157012,75
20146013,75
20144017,75
20246013,195
20243252,195
20242197,195
20232161,195
20221019,195
20213214,195
20212193,195
20207027,195
20183143,195
20173068,195
20161224,195
20165091,195
20155107,195
20151231,195
20241002,188
20243076,188
20244053,188
20233170,188
20233121,188
20231017,188
20213188,188
20211015,188
20212144,188
20213043,188
20203113,188
20205009,188
20191263,188
20182078,188
20182011,188
20181019,188
20165119,188
20165100,188
20154029,188
20145089,188
20243185,449
20231009,449
20212010,449
20214024,449
20215079,449
20172100,449
20244016,1172
20241188,1172
20243018,1172
20236025,1172
20233191,1172
20234086,1172
20233130,1172
20223243,1172
20222138,1172
20212030,1172
20211230,1172
20213221,1172
20203134,1172
20203074,1172
20207004,1172
20207018,1172
20205046,1172
20203034,1172
20192060,1172
20191048,1172
20192138,1172
20192246,1172
20195133,1172
20191159,1172
20172218,1172
20176020,1172
20171293,1172
20171003,1172
20165023,1172
20152114,1172
20155002,1172
20152042,1172
20152193,1172
20144073,1172
20243168,167
20233006,167
20236008,167
20233141,167
20232019,167
20223178,167
20217010,167
20201261,167
20191133,167
20187003,167
20164063,167
20155004,167
20151139,167
20152174,167
20246003,793
20243102,793
20244062,793
20242069,793
20242212,793
20241005,793
20241296,793
20243071,793
20243069,793
20242041,793
20242220,793
20243179,793
20231027,793
20232208,793
20231192,793
20233217,793
20232179,793
20221197,793
20222185,793
20214027,793
20213030,793
20211148,793
20214053,793
20213117,793
20204066,793
20204050,793
20204015,793
20203133,793
20197013,793
20194035,793
20184049,793
20182062,793
20175055,793
20171140,793
20165170,793
20165031,793
20145024,793
20145147,793
20144053,793
20246001,392
20243087,392
20241032,392
20242239,392
20233066,392
20221103,392
20221251,392
20222050,392
20211239,392
20197019,392
20182196,392
20171065,392
20175105,392
20151165,392
20144069,392
20244081,297
20234013,297
20233060,297
20233055,297
20221131,297
20222031,297
20191043,297
20181215,297
20165151,297
20154082,297
20151299,297
20151088,297
20241087,1218
20241086,1218
20223233,1218
20204023,1218
20161290,1218
20241054,1143
20233143,1143
20223211,1143
20183154,1143
20173042,1143
20244042,1349
20243198,1349
20242169,1349
20241023,1349
20231178,1349
20232173,1349
20223104,1349
20223030,1349
20221259,1349
20211058,1349
20211201,1349
20215155,1349
20212004,1349
20215118,1349
20202168,1349
20205066,1349
20195097,1349
20193171,1349
20181264,1349
20172064,1349
20175121,1349
20173161,1349
20165030,1349
20154085,1349
20157022,1349
20151287,1349
20145135,1349
20145005,1349
20243246,1512
20241264,1512
20236019,1512
20226040,1512
20221090,1512
20221029,1512
20222042,1512
20213144,1512
20212152,1512
20195034,1512
20183076,1512
20171297,1512
20241101,870
20241243,870
20244011,870
20231230,870
20215100,870
20164067,870
20241216,690
20183220,690
20172091,690
20175129,690
20241300,900
20241278,900
20241135,900
20244057,900
20241213,900
20231103,900
20231248,900
20232034,900
20232242,900
20234002,900
20234014,900
20222196,900
20223052,900
20226016,900
20215022,900
20213217,900
20212052,900
20215143,900
20211028,900
20215099,900
20211134,900
20211079,900
20212122,900
20202070,900
20201158,900
20202090,900
20204082,900
20202176,900
20203009,900
20201191,900
20202186,900
20202121,900
20202117,900
20204083,900
20197010,900
20192186,900
20192118,900
20197008,900
20194064,900
20197005,900
20182159,900
20185046,900
20185066,900
20183014,900
20184055,900
20185096,900
20173054,900
20171280,900
20172168,900
20173174,900
20171263,900
20172219,900
20161330,900
20167022,900
20161152,900
20161011,900
20164010,900
20151270,900
20155090,900
20154001,900
20152017,900
20156009,900
20145041,900
20243007,1409
20243147,1409
20241009,1409
20246025,1409
20246010,1409
20241038,1409
20231185,1409
20221070,1409
20221167,1409
20216011,1409
20216021,1409
20211070,1409
20205020,1409
20202014,1409
20192107,1409
20191001,1409
20183022,1409
20181066,1409
20182061,1409
20181022,1409
20172124,1409
20171040,1409
20174002,1409
20165140,1409
20151079,1409
20241149,483
20222186,483
20203085,483
20195084,483
20161260,483
20151290,483
20241068,969
20243273,869
20242053,869
20242224,869
20241133,869
20241162,869
20242094,869
20241212,869
20234020,869
20231227,869
20237023,869
20233015,869
20233162,869
20231259,869
20233079,869
20233057,869
20232139,869
20231123,869
20226038,869
20223143,869
20224023,869
20222144,869
20215063,869
20214015,869
20211251,869
20211089,869
20215041,869
20215059,869
20211171,869
20212208,869
20205108,869
20205040,869
20205048,869
20202087,869
20201170,869
20203143,869
20202094,869
20203117,869
20203190,869
20205064,869
20201219,869
20204025,869
20202047,869
20191248,869
20192047,869
20193187,869
20191317,869
20191077,869
20191018,869
20192160,869
20194057,869
20181071,869
20182161,869
20182084,869
20182046,869
20185018,869
20183109,869
20186027,869
20181025,869
20174051,869
20171078,869
20172233,869
20171226,869
20174077,869
20175089,869
20161288,869
20161335,869
20165157,869
20167028,869
20161095,869
20155004,869
20152083,869
20157014,869
20155054,869
20152057,869
20157012,869
20144052,869
20145012,869
20244020,1448
20241094,1448
20242120,1448
20243011,1448
20241285,1448
20243222,1448
20243039,1448
20231163,1448
20233219,1448
20231199,1448
20211179,1448
20202105,1448
20191113,1448
20181086,1448
20187004,1448
20171036,1448
20173218,1448
20244055,426
20215071,426
20204010,426
20198002,426
20183191,426
20173151,426
20161156,426
20244055,500
20243160,500
20243235,500
20242099,500
20212108,500
20212180,500
20215042,500
20192237,500
20191097,500
20181321,500
20173108,500
20175064,500
20243160,1523
20241022,1523
20242110,1523
20241238,1523
20241067,1523
20232076,1523
20222163,1523
20223033,1523
20223079,1523
20212097,1523
20211067,1523
20203006,1523
20203238,1523
20205025,1523
20201029,1523
20192003,1523
20194049,1523
20191315,1523
20184008,1523
20184015,1523
20184058,1523
20184056,1523
20173154,1523
20173136,1523
20172161,1523
20161054,1523
20161166,1523
20161217,1523
20161093,1523
20161008,1523
20151097,1523
20152223,1523
20152199,1523
20151049,1523
20154036,1523
20145014,1523
20243209,1011
20241100,1011
20242021,1011
20243141,1011
20233076,1011
20232127,1011
20233237,1011
20223037,1011
20226002,1011
20221119,1011
20204081,1011
20205051,1011
20205073,1011
20203066,1011
20201060,1011
20197016,1011
20193069,1011
20193064,1011
20181037,1011
20181223,1011
20161082,1011
20152073,1011
20152228,1011
20244001,1276
20243163,1276
20231115,1276
20236006,1276
20231288,1276
20224046,1276
20221075,1276
20213107,1276
20211040,1276
20215058,1276
20212101,1276
20213179,1276
20212199,1276
20216004,1276
20207014,1276
20191028,1276
20192070,1276
20194090,1276
20185052,1276
20182198,1276
20171165,1276
20176014,1276
20161157,1276
20152055,1276
20151239,1276
20243243,1382
20222111,1382
20221142,1382
20246016,486
20232041,486
20211228,486
20181267,486
20174032,486
20177004,486
20164075,486
20241119,1357
20201235,1357
20171191,1357
20241119,172
20231029,172
20234010,172
20232122,172
20223075,172
20222047,172
20193174,172
20172051,172
20173135,172
20161176,172
20161248,172
20155058,172
20241169,994
20242007,994
20242138,994
20243004,994
20241228,994
20241157,994
20232131,994
20233148,994
20232029,994
20223119,994
20223144,994
20214074,994
20213155,994
20213128,994
20211125,994
20215082,994
20215046,994
20215119,994
20212043,994
20213116,994
20211066,994
20203007,994
20203237,994
20207028,994
20203008,994
20201220,994
20202169,994
20201083,994
20194050,994
20191215,994
20193089,994
20191085,994
20191156,994
20195150,994
20192064,994
20192023,994
20191174,994
20195111,994
20191187,994
20185004,994
20183052,994
20182182,994
20183097,994
20181057,994
20175087,994
20175027,994
20171322,994
20171310,994
20171235,994
20171260,994
20175112,994
20171273,994
20167019,994
20156025,994
20151230,994
20144084,994
20144071,994
20241291,886
20222232,886
20194101,886
20173015,886
20243036,1158
20248004,1158
20243245,1158
20234059,1158
20222192,1158
20227006,1158
20215135,1158
20202182,1158
20202113,1158
20191284,1158
20194044,1158
20181323,1158
20181254,1158
20183192,1158
20172187,1158
20172192,1158
20176019,1158
20161344,1158
20161024,1158
20161154,1158
20151059,1158
20145165,1158
20145108,1158
20244026,352
20172152,352
20241077,621
20234049,621
20221097,621
20181216,621
20151286,621
20151067,621
20241028,650
20194071,650
20243015,1341
20244019,1341
20241179,1341
20243138,1341
20231025,1341
20232103,1341
20232189,1341
20223004,1341
20223106,1341
20223266,1341
20223229,1341
20214061,1341
20215011,1341
20212123,1341
20202145,1341
20202164,1341
20202017,1341
20191303,1341
20191106,1341
20182054,1341
20182187,1341
20172057,1341
20171047,1341
20171271,1341
20161118,1341
20161094,1341
20161136,1341
20145136,1341
20244023,546
20234054,546
20222184,546
20217030,546
20203198,546
20203079,546
20182110,546
20164023,546
20158007,546
20241098,889
20243073,889
20243019,889
20241006,889
20231020,889
20232023,889
20232057,889
20233262,889
20226006,889
20222076,889
20224016,889
20222058,889
20223041,889
20213027,889
20211076,889
20212023,889
20212147,889
20211258,889
20212191,889
20213064,889
20213172,889
20202124,889
20206010,889
20203118,889
20203104,889
20203031,889
20203025,889
20202064,889
20192226,889
20191321,889
20194012,889
20192013,889
20195129,889
20193181,889
20192225,889
20192012,889
20183219,889
20182040,889
20171043,889
20173009,889
20171059,889
20161054,889
20151099,889
20243114,435
20232126,435
20222220,435
20213028,435
20213039,435
20202079,435
20181121,435
20182109,435
20171143,435
20243114,431
20244069,431
20241059,431
20213143,431
20214054,431
20201148,431
20203076,431
20185022,431
20177015,431
20241040,1146
20234017,1146
